TargetID	ProbeID	4042961002_A.AVG_Signal	4042961002_A.Detection Pval	4042961002_A.BEAD_STDERR	4042961002_A.Avg_NBEADS	4042961002_B.AVG_Signal	4042961002_B.Detection Pval	4042961002_B.BEAD_STDERR	4042961002_B.Avg_NBEADS	4042961002_C.AVG_Signal	4042961002_C.Detection Pval	4042961002_C.BEAD_STDERR	4042961002_C.Avg_NBEADS	4042961002_D.AVG_Signal	4042961002_D.Detection Pval	4042961002_D.BEAD_STDERR	4042961002_D.Avg_NBEADS	4042961002_E.AVG_Signal	4042961002_E.Detection Pval	4042961002_E.BEAD_STDERR	4042961002_E.Avg_NBEADS	4042961002_F.AVG_Signal	4042961002_F.Detection Pval	4042961002_F.BEAD_STDERR	4042961002_F.Avg_NBEADS	4042961002_G.AVG_Signal	4042961002_G.Detection Pval	4042961002_G.BEAD_STDERR	4042961002_G.Avg_NBEADS	4042961002_H.AVG_Signal	4042961002_H.Detection Pval	4042961002_H.BEAD_STDERR	4042961002_H.Avg_NBEADS	4042961011_A.AVG_Signal	4042961011_A.Detection Pval	4042961011_A.BEAD_STDERR	4042961011_A.Avg_NBEADS	4042961011_B.AVG_Signal	4042961011_B.Detection Pval	4042961011_B.BEAD_STDERR	4042961011_B.Avg_NBEADS	4042961011_C.AVG_Signal	4042961011_C.Detection Pval	4042961011_C.BEAD_STDERR	4042961011_C.Avg_NBEADS	4042961011_D.AVG_Signal	4042961011_D.Detection Pval	4042961011_D.BEAD_STDERR	4042961011_D.Avg_NBEADS	4042961011_E.AVG_Signal	4042961011_E.Detection Pval	4042961011_E.BEAD_STDERR	4042961011_E.Avg_NBEADS	4042961011_F.AVG_Signal	4042961011_F.Detection Pval	4042961011_F.BEAD_STDERR	4042961011_F.Avg_NBEADS	4042961011_G.AVG_Signal	4042961011_G.Detection Pval	4042961011_G.BEAD_STDERR	4042961011_G.Avg_NBEADS	4042961011_H.AVG_Signal	4042961011_H.Detection Pval	4042961011_H.BEAD_STDERR	4042961011_H.Avg_NBEADS	4042961012_A.AVG_Signal	4042961012_A.Detection Pval	4042961012_A.BEAD_STDERR	4042961012_A.Avg_NBEADS	4042961012_B.AVG_Signal	4042961012_B.Detection Pval	4042961012_B.BEAD_STDERR	4042961012_B.Avg_NBEADS	4042961012_C.AVG_Signal	4042961012_C.Detection Pval	4042961012_C.BEAD_STDERR	4042961012_C.Avg_NBEADS	4042961012_D.AVG_Signal	4042961012_D.Detection Pval	4042961012_D.BEAD_STDERR	4042961012_D.Avg_NBEADS	4042961012_E.AVG_Signal	4042961012_E.Detection Pval	4042961012_E.BEAD_STDERR	4042961012_E.Avg_NBEADS	4042961012_F.AVG_Signal	4042961012_F.Detection Pval	4042961012_F.BEAD_STDERR	4042961012_F.Avg_NBEADS	4042961012_G.AVG_Signal	4042961012_G.Detection Pval	4042961012_G.BEAD_STDERR	4042961012_G.Avg_NBEADS	4042961012_H.AVG_Signal	4042961012_H.Detection Pval	4042961012_H.BEAD_STDERR	4042961012_H.Avg_NBEADS
NEGATIVE	50180	-0.08998538	0.9985875	0.06738693	32	0	0.950565	0	24	0.0202415	0.9110169	0.03259767	19	0.5660948	0.5070621	0.2961279	24	0.08814392	0.9717514	0.074591	21	3.245985	0.319209	1.009143	22	0.8191492	0.8502825	0.2639166	30	0.1706518	0.8559322	0.2146182	30	1.218783	0.5748588	0.3953547	37	-0.005914526	0.9618644	0.0221818	23	0.867531	0.7485875	0.3545827	41	1.764766	0.5466102	0.5993431	29	2.045594	0.5042373	0.7267251	28	0.370566	0.6525424	0.3526817	24	0.005753722	0.9039548	0.02992303	31	0.2593633	0.6935028	0.2159521	28	2.528007	0.819209	0.6548502	36	1.07232	0.8799435	0.6486253	31	0.08769324	0.9350283	0.08721024	30	1.581206	0.8333333	0.9347655	40	0.5177899	0.7090396	0.2284691	32	0	0.9053673	0	27	0.3038288	0.9279661	0.270703	41	1.484102	0.7711864	0.4811247	30
NEGATIVE	50706	0.08175617	0.8644068	0.07315819	26	0.9846591	0.6172317	0.3766222	33	0.2753856	0.8305085	0.162819	36	0	0.8785311	0	28	0.5197006	0.9152542	0.242624	36	0.6347736	0.7669492	0.4731586	36	2.195629	0.680791	0.7977358	43	-0.01348039	0.9279661	0.4280782	26	1.300843	0.5522599	0.3721457	32	0.02955828	0.8940678	0.03635083	26	1.895233	0.5805085	0.7522033	28	0.4499516	0.8135593	0.1576055	35	0.006045872	0.9491525	0.01317456	17	-0.3914749	0.9731638	0.3441554	43	0.03338929	0.8983051	0.03390124	27	-0.04062397	0.8827683	0.2041171	25	2.216467	0.8502825	0.5936034	41	1.547701	0.8163842	0.4564773	35	1.694808	0.5550848	1.125439	28	1.003564	0.8997175	0.3046018	42	-0.003607261	0.9576271	0.003011924	21	0.06863775	0.8008475	0.1057396	31	0.03009563	0.970339	0.1927542	26	1.304936	0.8064972	0.5609229	31
NEGATIVE	60437	0	0.9463277	0	27	0	0.950565	0	24	0.00780115	0.9180791	0.009401769	25	-0.003813102	0.9166667	0.002745836	19	0.2563962	0.9562147	0.1364407	26	-0.2193304	0.9957627	0.2850654	34	0.03377219	0.9533898	0.04731112	21	0.04411118	0.8983051	0.1328883	29	0.03460959	0.9081921	0.03320818	26	0.03951066	0.8870056	0.05045478	28	0.2347097	0.8983051	0.2833402	26	1.296303	0.6214689	0.3331248	32	0.1410187	0.8912429	0.1407793	33	-0.1059175	0.8898305	0.3799528	32	0	0.9265537	0	21	-0.004363858	0.8559322	0.02650711	23	2.697919	0.8036723	1.043779	43	0.9526168	0.8954802	0.2451992	31	-0.008032462	0.990113	0.004861283	22	1.051352	0.8926554	0.5942006	34	0.1106076	0.8686441	0.0883619	29	0.4856775	0.6144068	0.1864223	35	0.2847131	0.9322034	0.243832	35	0.1847564	0.9519774	0.2778243	33
NEGATIVE	60523	2.012497	0.3629943	0.8194066	27	1.413865	0.5211864	0.3470239	41	3.753648	0.2923729	0.8431841	40	0.9540355	0.3997175	0.3359923	30	3.550165	0.5805085	0.8294745	41	3.257637	0.3177966	1.217726	31	5.494085	0.329096	1.612204	27	2.132655	0.4237288	0.5314305	45	9.584861	0.06355932	2.207233	37	2.091334	0.3799435	0.4891731	37	6.712581	0.2033898	1.231573	40	6.33019	0.1596045	1.412325	42	2.441805	0.4463277	0.6205938	32	2.024788	0.2966102	2.179667	31	2.972157	0.2923729	0.8457311	32	5.141679	0.1129944	1.114862	48	14.77966	0.1440678	2.692664	37	8.413532	0.2457627	1.521206	47	7.96801	0.1144068	1.78304	35	9.412816	0.2556497	1.977906	33	3.855664	0.230226	0.861572	42	1.947004	0.3149717	0.512247	45	6.841084	0.2966102	1.746353	37	15.49039	0.08898305	2.663935	50
NEGATIVE	60646	2.007265	0.3644068	0.585596	48	0.4786598	0.7274011	0.1265061	43	2.706179	0.3827684	0.5941525	36	-0.01276902	0.9576271	0.03794809	27	6.810073	0.3135593	1.193251	44	0.1957751	0.8841808	0.1206817	45	3.56649	0.5042373	0.7445061	41	0.03288826	0.90113	0.08898948	25	1.365632	0.5381356	0.3424819	46	1.570672	0.4576271	0.4403554	50	0.716417	0.7824859	0.3120927	39	0.5823864	0.7810735	0.3179674	38	0.4390931	0.7909604	0.1730224	34	0.0817513	0.779661	0.3375747	34	0.7152418	0.6610169	0.4674867	29	0.01099192	0.8361582	0.2756433	33	6.206445	0.4844633	1.21211	51	2.409404	0.7189265	0.6971993	40	0.6323256	0.7754237	0.2793836	30	9.137444	0.2655367	1.724408	41	2.430045	0.3644068	0.5195162	42	0.5894682	0.5875706	0.1832227	35	1.243442	0.7881356	0.6417074	37	0.8205811	0.8771186	0.2578285	37
NEGATIVE	60661	1.110309	0.5451977	0.4727999	25	2.365152	0.3870057	0.5715423	26	3.274088	0.3333333	0.9024501	29	0.1880914	0.6214689	0.08951609	25	5.252991	0.4279661	1.007773	44	0.8100493	0.7146893	0.3768626	31	5.625223	0.319209	1.276082	36	0.7891615	0.6864407	0.4841981	32	0.9384137	0.6172317	0.330605	34	0.3485839	0.7612994	0.2046844	26	2.117021	0.5423729	0.6060908	45	2.090877	0.4788136	0.510472	37	2.160447	0.4830509	0.6616658	39	0.02873734	0.8064972	0.1924349	27	0.7432104	0.6567796	0.3957961	29	0.9155786	0.480226	0.4766976	29	1.642751	0.8983051	0.5275718	34	2.537067	0.6963277	0.550167	37	2.35636	0.4548023	0.7324538	35	6.118262	0.4336158	1.424953	38	0.9577975	0.6214689	0.3002891	28	0.0950151	0.7853107	0.1067673	29	1.992119	0.6793785	0.8020841	29	0.8047279	0.8827683	0.2835841	35
NEGATIVE	70035	4.51394	0.1440678	1.093452	36	4.481804	0.1977401	0.9607621	43	5.069627	0.1963277	1.062717	44	0.2738588	0.5889831	0.3245608	19	9.857583	0.1850283	1.479885	47	3.964421	0.2740113	1.089097	39	7.646408	0.2189265	1.169811	48	0.008031845	0.9138418	0.6331208	27	3.498704	0.2966102	0.6274763	35	3.922432	0.2245763	0.9265752	38	1.567029	0.6398305	0.3967014	28	11.73038	0.04237288	2.249843	37	5.976352	0.1878531	1.014151	44	0.3339862	0.6737288	0.4269878	41	3.73815	0.2358757	0.7263784	46	0.2299478	0.7132769	0.8756076	24	10.6954	0.259887	2.380266	35	6.381774	0.3418079	1.383814	40	8.548064	0.09887005	1.598491	46	8.855227	0.2810735	1.752199	40	3.322133	0.2768362	1.092287	36	1.801577	0.3418079	0.4216677	42	8.890126	0.2033898	1.643067	40	6.77316	0.3177966	2.049948	27
NEGATIVE	70731	1.795117	0.4011299	0.5629822	32	0.1084354	0.8615819	0.08850189	23	0.6567767	0.7443503	0.1921246	34	-0.000359415	0.8870056	0.000359415	24	3.80068	0.5579096	0.8128323	34	5.332607	0.1892655	1.587522	37	1.279157	0.7909604	0.2763916	43	1.212278	0.5946327	0.4029739	28	1.316421	0.5480226	0.4508531	30	0.9008415	0.5875706	0.2772228	37	6.671655	0.2062147	1.626546	33	0.7786756	0.7274011	0.2836165	38	0.8076986	0.730226	0.3184423	39	0.3663808	0.6596045	0.268059	33	0.7114724	0.6624294	0.2412798	37	-0.1042221	0.920904	0.0816464	30	3.670637	0.710452	0.996206	35	5.544568	0.391243	1.167756	33	3.386925	0.3714689	0.9507782	27	6.947606	0.3714689	1.095533	34	1.398276	0.5409604	0.465787	32	0.320661	0.6737288	0.2454941	32	4.435426	0.4110169	1.119244	37	5.335123	0.4025424	1.348484	32
NEGATIVE	70753	0.2469753	0.7951977	0.1273044	23	3.576126	0.2612994	1.003836	26	0.8133356	0.7048023	0.4097104	25	0.4814043	0.5268362	0.2003631	27	6.976235	0.3050847	1.327944	38	0.4673934	0.8036723	0.3169035	20	7.114229	0.2372881	1.824275	31	2.642752	0.3573446	0.7235256	28	3.864083	0.2528249	0.8954099	37	4.059721	0.2090396	0.8015852	42	6.679488	0.2048023	1.149394	44	1.940881	0.5084746	0.4866887	33	3.730011	0.3149717	1.1603	28	5.011559	0.1242938	1.843364	38	4.993921	0.170904	1.194271	31	0.3318443	0.6567796	0.4955834	26	12.40631	0.2146893	2.049528	39	6.40019	0.3375706	1.696184	25	4.496004	0.2768362	1.361857	35	12.17969	0.1737288	2.17007	37	4.3998	0.1963277	1.134285	30	0.1105829	0.7711864	0.1894219	30	10.13981	0.1680791	2.232028	33	8.834797	0.240113	2.035658	29
NEGATIVE	110139	0.2202511	0.8022599	0.1888776	36	0.868908	0.6370056	0.2882096	35	0.058611	0.8968927	0.1155844	31	-0.01835527	0.970339	0.02299932	25	3.68416	0.5635593	0.774878	44	2.095793	0.460452	0.5059437	41	0.532429	0.8855932	0.6001169	33	1.177259	0.6016949	0.5609673	46	0.9611864	0.6115819	0.2672881	33	0.4725808	0.7245763	0.2272362	29	1.258237	0.6878531	0.4314608	29	1.616271	0.5677966	0.6473432	35	1.280591	0.6228814	0.4489942	36	2.470328	0.2457627	1.522218	48	0.6711639	0.6751412	0.2698314	26	-0.1404067	0.9350283	0.2329402	29	6.733459	0.4420904	1.407675	35	2.642422	0.6878531	0.6913957	46	3.180734	0.3799435	0.8764464	38	5.022584	0.5028248	1.180877	38	1.077622	0.5932204	0.4636253	42	0.684513	0.5607345	0.2927315	32	6.122477	0.3333333	1.32782	44	10.23718	0.1920904	1.944777	40
